Year,Closing_Price,Annual_Change_Percentage
2017,7226.32,0.22
2018,7826.73,8.31
2019,8389.23,7.19
2020,8689.53,3.58
2021,11281.71,29.83
2022,10478.46,-7.12
2023,11967.39,14.21
2024,12037,0.58
